Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2016,Septiembre,249,Estados Unidos,-98.5,39.76,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24366.96,128.93,373736.29,24.37
2016,Septiembre,589,Perú,-75.25,-10,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,45093.91,239,712005.39,45.09
2016,Septiembre,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,632.4,2.36,7453.12,0.63
2016,Septiembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,3047.62,15.86,47176.85,3.05
2016,Septiembre,493,México,-102,23,76,VALLE DEL CAUCA,-765215601611,34144187719,0407211000 - HUEVOS FRESCOS DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS PARA LA PRODUCCION DE VACUNAS (LIBRES DE PATÓGENOS ESPECÍFICOS).,Avícola,Huevos,U,16000,21.55,69867.36,0.99
2016,Septiembre,493,México,-102,23,76,VALLE DEL CAUCA,-765215601611,34144187719,0407211000 - HUEVOS FRESCOS DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS PARA LA PRODUCCION DE VACUNAS (LIBRES DE PATÓGENOS ESPECÍFICOS).,Avícola,Huevos,U,16000,21.55,72905.83,0.99
2016,Octubre,249,Estados Unidos,-98.5,39.76,68,SANTANDER,-731325976221,711626842734,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,180000,20.25,104115.52,11.25
2016,Octubre,105,Brasil,-55,-10,8,ATLÁNTICO,-748132169683,109783195607,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,24294,769.91,2282151.25,1.15
2016,Octubre,105,Brasil,-55,-10,76,VALLE DEL CAUCA,-765215601611,34144187719,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,70200,78.23,251807.49,4.42
2016,Octubre,149,Canadá,-113.643,601.087,25,CUNDINAMARCA,-746692192503,437531467846,"0105120000 - Pavos (gallipavos)de las especies domésticas, vivos,  de peso inferior o igual a 185 g.",Avícola,Gallos y gallinas,U,1710,28.33,86043.86,0.14
